recipe_name,recipe_link,main_ingredient,meal_role,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,vitamin_a_iu,vitamin_c_mg,iron_mg,price_try,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,ingredient_16,ingredient_17,ingredient_18,ingredient_19,ingredient_20,ingredient_21,ingredient_22,ingredient_23,ingredient_24,ingredient_25,ingredient_26,ingredient_27,ingredient_28,ingredient_29,ingredient_30
Sütlü Domates Çorbası,https://www.nefisyemektarifleri.com/sutlu-domates-corbasi/,Süt Ürünü,Çorba,148,12.7,2.6,10.1,2,6.6,239.7,534.03,50.5,1243.7,17.8,0.7,24.1,2 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,2 tepeleme yemek kaşığı un,1 yemek kaşığı domates salçası,5 adet domates,4 su bardağı su,Yarım su bardağı süt,1 silme tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,,
Mercimek Çorbası,https://www.nefisyemektarifleri.com/mercimek-corbasi-tarifi/,Bakliyat,Çorba,284,25,13,12.5,5.05,10.85,141.15,661.7,24.5,1115,3.57,3.2,21.18,2 su bardağı kırmızı mercimek,1 adet soğan,2 yemek kaşığı un,1 adet havuç,Yarım yemek kaşığı biber ya da domates salçası (rengi kırmızı olsun isterseniz artırabilir ya da hiç kullanmayabilirsiniz),1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,1 çay kaşığı kimyon (isteğe bağlı),2 litre sıcak su,5 yemek kaşığı sıvı yağ,2 yemek kaşığı tereyağı,1 tatlı kaşığı kırmızı toz biber,,,,,,,,,,,,,,,,,,
Cennet Çorbası,https://www.nefisyemektarifleri.com/cennet-corbasi/,Sebze,Çorba,153,16,3.4,8.1,1.2,18.4,225.2,390.5,16.8,206.3,1.9,0.2,10.84,2 yemek kaşığı tereyağı,3 yemek kaşığı mısır unu,1 adet soğan,1 adet patates,1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,1 çay kaşığı sarımsak tozu,2 su bardağı tavuk suyu (400 ml),5 su bardağı sıcak su (1 litre),1 yemek kaşığı tereyağı,1 tatlı kaşığı toz kırmızı biber,,,,,,,,,,,,,,,,,,,
Şehriyeli Tavuk Suyu Çorbası,https://www.nefisyemektarifleri.com/video/tavuk-suyu-corba-tarifi/,Tavuk,Çorba,260,24.4,11.6,12.6,0.4,12.54,525.11,411.13,16.4,1367.6,4.91,0.72,36.27,1 çay bardağı tel şehriye,1 adet tavuk but,6 su bardağı tavuk suyu,2 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,1 adet havuç,1 diş sarımsak,1.5 yemek kaşığı un,Tuz,Karabiber,Maydanoz,,,,,,,,,,,,,,,,,,,
Lokanta Usulü Mercimek Çorbası,https://www.nefisyemektarifleri.com/video/lokanta-usulu-mercimek-corbasi-tarifi-videosu/,Bakliyat,Çorba,272,25,11,13,7.2,6.5,350.7,360.3,355.9,1529.2,2.8,2.1,12.67,1 su bardağı kırmızı mercimek,1 adet kuru soğan,3-4 yemek kaşığı sıvı yağ,1 adet havuç,1 adet patates,5 su bardağı sıcak su (1 litre),1 su bardağı sıcak tavuk suyu (200 ml),1 tatlı kaşığı tuz,1 yemek kaşığı tereyağı,1 tatlı kaşığı toz kırmızı biber,,,,,,,,,,,,,,,,,,,,
Paça Tadında Tavuk Çorbası,https://www.nefisyemektarifleri.com/paca-tadinda-tavuk-corbasi-adana-usulu/,Tavuk,Çorba,315,13.3,27.1,16.6,0.08,9,626.01,455.5,22.3,63,1.3,1.5,36.85,2 tane tavuk but,Yağ,1 kaşık biber salçası,Yarım şeker kaşığı kuru nane,6 su bardağı tavuk suyu,Tuz,3 diş sarımsak,1 yemek kaşığı un,,,,,,,,,,,,,,,,,,,,,,
Domatesli Şehriye Çorbası,https://www.nefisyemektarifleri.com/video/domatesli-sehriye-corbasi-nasil-yapilir/,Bakliyat,Çorba,126,17.6,4.3,4.3,2.59,8.48,283.91,404.01,59.1,451.9,10.2,1.1,17.63,4 adet domates,Yarım su bardağı arpa şehriye,1 su bardağı tavuk suyu,4 su bardağı sıcak su,2 yemek kaşığı tereyağı,1 yemek kaşığı domates salçası,1 su bardağına yakın haşlanmış nohut,1 tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,,
Yeşil Mercimek Çorbası,https://www.nefisyemektarifleri.com/video/yesil-mercimek-corbasi/,Bakliyat,Çorba,162,21.5,5.6,5.6,2.6,0,102.7,244.7,57.07,987.4,3.9,1.6,8.91,1 su bardağı yeşil mercimek (haşlanmış),2 adet soğan,1 çay bardağı arpa şehriye,1 yemek kaşığı salça,3 yemek kaşığı sıvı yağ,1 küçük boy havuç,1 tatlı kaşığı nane,Yeşil mercimek suyu,7 su bardağı sıcak su,Tuz,,,,,,,,,,,,,,,,,,,,
Patates Çorbası,https://www.nefisyemektarifleri.com/video/patates-corbasi-nasil-yapilir/,Sebze,Çorba,170,18.98,3.33,8.84,1.44,51.08,320.53,481.17,222.84,263.99,7.08,0.24,13.28,2 adet patates,1 adet kuru soğan,3 diş sarımsak,2 yemek kaşığı sıvı yağ,1 litre sıcak su,1 çay bardağı yoğurt,1 yemek kaşığı un,1 adet yumurta sarısı,1 yemek kaşığı limon suyu,1 tatlı kaşığı tuz,1 yemek kaşığı tereyağı,1 tatlı kaşığı toz kırmızı biber,,,,,,,,,,,,,,,,,,
Tarhana Çorbası,https://www.nefisyemektarifleri.com/tarhana-corbasi-tarifi/,Tahıl,Çorba,79,8,0.8,5,0.79,0.6,142,178.8,16.22,259.8,5.2,0.8,27.22,3 yemek kaşığı ev tarhanası,1 yemek kaşığı nane,2 yemek kaşığı sıvı yağ,1 yemek kaşığı salça,6 su bardağı su,Kırmızı pul biber,Karabiber,Tuz,,,,,,,,,,,,,,,,,,,,,,
Erişteli Köfteli Çorba,https://www.nefisyemektarifleri.com/video/eristeli-kofteli-corba/,Kırmızı Et,Çorba,310,19.6,12.7,20.01,1.7,75.9,354.9,530.02,110.9,511.6,4.2,1.8,44.23,1 adet soğan,1 yemek kaşığı salça,2 yemek kaşığı sıvı yağ,1.5 litre sıcak su,Yarım su bardağı erişte,1.5 tatlı kaşığı tuz,1 adet yumurta,1 su bardağı yoğurt,1 yemek kaşığı un,200 gr kıyma,2 yemek kaşığı köftelik bulgur,Yarım çay kaşığı karabiber,1 çay kaşığı pul biber,1 yemek kaşığı un,2-3 yemek kaşığı tereyağı,1 tatlı kaşığı kuru nane,Yarım tatlı kaşığı kırmızı toz biber,,,,,,,,,,,,,
Paça Tadında Tavuk Çorbası,https://www.nefisyemektarifleri.com/video/paca-tadinda-tavuk-corbasi-yapimi/,Tavuk,Çorba,262,12.3,22.1,13.4,0.3,7.2,742.4,569.7,23.3,88.4,3.04,1.6,28.81,2 adet tavuk but,8 su bardağı sıcak su (1600 ml – tavukları haşlarken),1 tatlı kaşığı tuz,3 yemek kaşığı sıvı yağ,3 diş sarımsak,1 yemek kaşığı biber salçası,1 yemek kaşığı un,Yarım tatlı kaşığı kuru nane,6 su bardağı tavuk suyu (1200 ml),,,,,,,,,,,,,,,,,,,,,
Domates Çorbası,https://www.nefisyemektarifleri.com/domates-corbasi/,Sebze,Çorba,85,11,2,4,1.4,10.6,26.14,323.2,60,997.6,15.4,0.34,21.84,5 adet olgun domates,2 yemek kaşığı tereyağı,3 yemek kaşığı un,1 litre sıcak su,1 su bardağı süt,Rendelenmiş taze kaşar,,,,,,,,,,,,,,,,,,,,,,,,
Anadolu Çorbası,https://www.nefisyemektarifleri.com/anadolu-corbasi-10299471/,Bakliyat,Çorba,114,9.8,3.05,6.7,1.8,29.7,18.56,107.6,52.01,157.6,1.18,0.8,43.31,2 yemek kaşığı kırmızı mercimek,3 yemek kaşığı yeşil mercimek,2yemek kaşığı pirinç̧,2 yemek kaşığı bulgur,1.5 lt su,1 su bardağı yoğurt,1 yumurta sarısı,2 yemek kaşığı un,1 adet kuru soğan,1 yemek kaşığı tereyağı,3 yemek kaşığı sıvı yağ,1 çay kaşığı pul biber,1 çay kaşığı ucuyla karabiber,1.5 tatlı kaşığı kuru nane,,,,,,,,,,,,,,,,
Yayla Çorbası,https://www.nefisyemektarifleri.com/yayla-corbasi-yapilisi/,Süt Ürünü,Çorba,177,14.6,3.4,11.5,0.08,52.48,132.67,151.8,52.23,121,0.18,0.45,10.79,1 fincan pirinç (Türk kahvesi fincanı),7 su bardağı su,1 su bardağı yoğurt,1 yumurta,Yarım fincandan biraz fazla un (Türk kahvesi fincanı),3 yemek kaşığı sıvı yağ,2 yemek kaşığı tereyağı,Tuz,Nane,,,,,,,,,,,,,,,,,,,,,
Çeşmi Nigar Çorbası,https://www.nefisyemektarifleri.com/video/cesmi-nigar-corbasi-nasil-yapilir/,Bakliyat,Çorba,114,3.8,1.1,10.6,0.3,34.8,162.8,140.1,43.5,205.1,4.7,0.3,27.73,1 adet kuru soğan,1 yemek kaşığı un,1 su bardağı kırmızı mercimek,Yarım çay bardağı zeytinyağı (60 ml),1 tatlı kaşığı tuz,6 su bardağı su (1200 ml),1 çay bardağı süt (125 ml),1 adet yumurta sarısı,Yarım limon suyu,1 yemek kaşığı tereyağı,1 tatlı kaşığı kuru nane,1 tatlı kaşığı pul biber,,,,,,,,,,,,,,,,,,
Muhteşem Kabak Çorbası,https://www.nefisyemektarifleri.com/muhtesem-kabak-corbasi-kremali-tadinda/,Sebze,Çorba,80,6.1,2.8,5.02,0.66,2.96,113.41,199.81,126.61,226.44,7.54,0.88,21.88,2 adet yeşil kabak,2 yemek kaşığı un (Tepeleme),1 yemek kaşığı dolusu tereyağı,1 yemek kaşığı sıvı yağ,3 su bardağı süt,4 su bardağı su,Bir tutam dereotu,Tuz. pul biber. karabiber. nane,,,,,,,,,,,,,,,,,,,,,,
Kremalı Mantar Çorbası,https://www.nefisyemektarifleri.com/harika-kremali-mantar-corbasi/,Sebze,Çorba,245,9,4,22,1.28,5.34,108,119.5,264.56,26.9,6.92,0.58,42.49,400 gram mantar,1 adet orta boy kuru soğan,1-2 yemek kaşığı un,1.5 su bardağı süt veya 200 ml sıvı krema,3 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,Tuz,Karabiber,1 tutam taze maydanoz,3.5 su bardağı oda sıcaklığında su,,,,,,,,,,,,,,,,,,,,
Düğün Çorbası,https://www.nefisyemektarifleri.com/video/dugun-corbasi-tarifi/,Kırmızı Et,Çorba,218,5.6,10.9,16.5,0.1,80.9,44.8,149.8,114.58,221.37,3.6,1,13.24,500 g kuzu gerdan eti,1.5 litre su,1 tatlı kaşığı tuz,5 yemek kaşığı yoğurt,3 yemek kaşığı un,1 yumurta sarısı,Yarım limon suyu,1 su bardağı su,1 tat kaşığı kaşığı Pul biber,1 çay kaşığı kırmızı toz biber,2-3 yemek kaşığı tereyağı,,,,,,,,,,,,,,,,,,,
Mantar Çorbası,https://www.nefisyemektarifleri.com/mantar-corbasi-nasil-hazirlanir/,Sebze,Çorba,327,24,11,21.6,2.29,35.34,262,418,741.67,323.34,8.4,1.08,65.54,500 gram kültür mantarı,3 yemek kaşığı un,500 ml süt,3 su bardağı su (et suyu ve ya tavuk suyu varsa tercih edilmeli),2 yemek kaşığı tereyağı,1 adet bulyon (eklemek tercihe kalmış),1 tatlı kaşığı tuz,1 çay kaşığı karabiber,Yarım limon suyu. 2 kaşık sirke (mantarları haşlarken),2 yemek kaşığı tereyağı (mantarları kavururken),Üstüne arzu edilirse dereotu kıyılarak eklenebilir (ben eklemedim),,,,,,,,,,,,,,,,,,,
Tel Şehriyeli Tarhana Çorbası,https://www.nefisyemektarifleri.com/tel-sehriyeli-tarhana-corbasi/,Tahıl,Çorba,195,17.7,3.1,12.5,1.09,6.5,335.7,214.2,17.6,228.3,3.76,0.7,6.18,5 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,1 yemek kaşığı domates salçası (isteğe bağlı),1 tatlı kaşığı tuz,1 tatlı kaşığı nane (isteğe bağlı),1 çay kaşığı pul biber,1 çay kaşığı karabiber,6 yemek kaşığı tarhana,8 su bardağı su,Yarım çay bardağı tel şehriye,,,,,,,,,,,,,,,,,,,,
Ezogelin Çorbası,https://www.nefisyemektarifleri.com/ezogelin-corbasi-tarifi/,Bakliyat,Çorba,137,14.3,6.3,6.4,4.5,2.9,32.24,306.23,17.78,146.44,3.94,1.78,9.88,1 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,1 adet kuru soğan,2 diş sarımsak,1 su bardağı kırmızı mercimek,1 kahve fincanı bulgur (4 yemek kaşığı),Yarım kahve fincanı pirinç (2 yemek kaşığı),6 su bardağı sıcak su + 2.5 su bardağı sıcak su,2 yemek kaşığı sıvıyağ,1 yemek kaşığı un,2 yemek kaşığı domates salçası,2 su bardağı sıcak su,1 tatlı kaşığı nane,1 çay kaşığı kırmızı pul biber,1 çay kaşığı karabiber,1.5 tatlı kaşığı kadar tuz,,,,,,,,,,,,,,
Hanım Ağa Çorbası,https://www.nefisyemektarifleri.com/hanim-aga-corbasi-2431122/,Bakliyat,Çorba,222,28.6,6.7,8.8,2.6,5.34,9.4,171.4,26.4,40.8,5.4,1.4,13.62,6 su bardağı su,2 çorba kaşığı sıvı yağ,1 çorba kaşığı salça,1 adet soğan,1 çay kaşığı çeşni veya 1 adet bulyon,1 çay bardağı haşlanmış nohut,1 çay bardağı haşlanmış yeşil mercimek,1 çay bardağı erişte,Yarım çay bardağı tel şehriye,2-3 dal maydanoz,1 çorba kaşığı tereyağ,1 çay kaşığı nane,,,,,,,,,,,,,,,,,,
Terbiyeli Şehriye Çorbası,https://www.nefisyemektarifleri.com/nefis-terbiyeli-sehriye-corbasi/,Tahıl,Çorba,229,28,6.2,10.1,1.2,66.3,241.62,239.12,117.13,334.32,0.53,0.92,17.17,1 su bardağı arpa şehriye (şehriye bekledikçe kıvamı yoğunlaşır. isterseniz miktarını azaltabilirsiniz),2 yemek kaşığı tereyağı,7 su bardağı sıcak su,1 tatlı kaşığı tuz,5-6 yemek kaşığı yoğurt,1 adet yumurta sarısı,1 yemek kaşığı un,Tereyağı,Nane,Pul biber,,,,,,,,,,,,,,,,,,,,
Havuç Çorbası,https://www.nefisyemektarifleri.com/video/havuc-corbasi-nasil-yapilir/,Sebze,Çorba,201,11.6,4.2,15.4,0.81,45.8,249.32,301.94,71.65,2826.4,4.32,0.6,10.81,3 yemek kaşığı sıvıyağ,2 adet havuç,3 su bardağı sıcak tavuk suyu (600ml),2 su bardağı sıcak su (400 ml),2 yemek kaşığı sıvıyağ,Yarım çay bardağı un,1 su bardağı süt (200 ml),1 yumurta sarısı,1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,Dereotu,,,,,,,,,,,,,,,,,,,
Kırmızı Mercimek Çorbası,https://www.nefisyemektarifleri.com/kirmizi-mercimek-corbasi-tarifi/,Bakliyat,Çorba,162,20.4,9.7,3.2,7.2,0,143.4,215.6,359.3,1557.35,6.74,2.64,13.88,1 su bardağı kırmızı mercimek,1 litre su,1 çorba kaşığı sıvı yağ,1 adet havuç,1 baş soğan,1 çorba kaşığı un,1 çorba kaşığı salça,tuz ve baharat,,,,,,,,,,,,,,,,,,,,,,
Arpa Şehriye Çorbası,https://www.nefisyemektarifleri.com/pratik-arpa-sehriye-corbasi/,Tahıl,Çorba,141,14.8,2.6,7.8,1.2,0,118,232.2,15.8,242.6,4.45,1,3.42,3 yemek kaşığı sıvı yağ,2 yemek kaşığı domates salçası,1 çay kaşığı pul biber,1 tatlı kaşığı nane,1 silme tatlı kaşığı tuz,6 su bardağı sıcak su,1 çay bardağı arpa şehriye,,,,,,,,,,,,,,,,,,,,,,,
Brokoli Çorbası,https://www.nefisyemektarifleri.com/brokoli-corbasi-tarifi/,Sebze,Çorba,161,12,5,10,2.91,7.6,120.1,322.5,344.69,1125.75,84.1,0.9,39.81,500 g brokoli,1 adet havuç,1 adet orta boy patates,1 adet soğan,Sıcak su (üzerini geçecek kadar),2 su bardağı süt,1 çay bardağı süt kreması,2 yemek kaşığı tereyağ,1 yemek kaşığı un,Tuz,Karabiber,,,,,,,,,,,,,,,,,,,
Tutmaç Çorbası,https://www.nefisyemektarifleri.com/tutmac-corbasi-tarifi/,Bakliyat,Çorba,165,14,5.2,9.4,2.7,36.01,94.74,213.99,85.08,89.54,1.41,1.08,12.8,1 çay bardağı haşlanmış nohut (benim buzlukta vardı onu kullandım),1 çay bardağı erişte,1 çay bardağı haşlanmış yeşil mercimek (haşlayıp suyunu süzün),1 adet soğan,4-5 yemek kaşığı sıvı yağ,1 tatlı kaşığı nane,Tuz,1 yemek kaşığı un,1 yumurta sarısı,1.5 su bardağı yoğurt,,,,,,,,,,,,,,,,,,,,
Tavuklu Şifa Çorbası,https://www.nefisyemektarifleri.com/tavuklu-sifa-corbasi-8366871/,Tavuk,Çorba,292,25.6,23,10.5,1.06,11.34,469.58,417.5,29.12,1445.02,20.4,1.4,124.5,2 tane tavuk kalça but veya bir tane göğüs,1 çay bardağı tel şehriye,1 tane rendelenmiş orta boy havuç,1 tane küçük doğranmış orta boy kuru soğan,Yarım küçük doğranmış kırmızı kapya biber,2 diş ezilmiş sarımsak,2 yemek kaşığı un,1 dolu yemek kaşığı tereyağı,1 yemek kaşığı sıvı yağ,1 tutam ince doğranmış maydanoz,Tuz. karabiber,5 su bardağı tavuk suyu,1 buçuk su bardağı su,,,,,,,,,,,,,,,,,
Şehriyeli Yoğurt Çorbası,https://www.nefisyemektarifleri.com/video/sehriyeli-yogurt-corbasi-videosu-cocuklar-icin/,Süt Ürünü,Çorba,154,18.1,5.1,7.04,0.14,76.7,214.2,195.2,71.19,163.86,0.23,0.5,5.87,3 yemek kaşığı yoğurt,1 yumurta,2 yemek kaşığı un,4 su bardağı su,Yarım çay bardağı tel şehriye,1 yemek kaşığı tereyağı,1 tatlı kaşığı kuru nane,tuz,,,,,,,,,,,,,,,,,,,,,,
Kremalı Sebze Çorbası,https://www.nefisyemektarifleri.com/video/kremali-sebze-corbasi-tarifi/,Sebze,Çorba,275,19,4,21,3.72,0,291.9,490.07,39.72,1659.07,35.7,1.24,20.1,3 yemek kaşığı sıvı yağ,2 diş ince kıyılmış sarımsak,1 adet ince kıyılmış soğan,2 dolu yemek kaşığı un,1 adet minik küp doğranmış patates,1 adet minik küp doğranmış havuç,1 adet minik küp doğranmış kırmızı biber,1 adet minik küp doğranmış yeşil kabak,1 çay bardağı konserve bezelye,1 avuç kıyılmış dereotu,1 kutu krema (200 ml),Tuz,6-7 su bardağı sıcak su,,,,,,,,,,,,,,,,,
Tavuklu Yalancı İşkembe Çorbası,https://www.nefisyemektarifleri.com/tavuklu-yalanci-iskembe-corbasi/,Tavuk,Çorba,216,6.9,25.9,9.5,0.21,43.4,168.36,378.4,195.3,131.36,5.58,0.5,81.74,500 gram kemiksiz tavuk eti,4-5 su bardağı su,1 yemek kaşığı limon suyu,2-3 tane ezilmiş sarımsak,Yarım fincan sıvı yağ,2 yemek kaşığı un,1 su bardağı süt,1 yumurtanın sarısı,Tuz. karabiber,Pul biber,Sirke veya limon suyu,Ezilmiş sarımsak,,,,,,,,,,,,,,,,,,
Limonlu Mercimek Çorbası,https://www.nefisyemektarifleri.com/limonlu-mercimek-corbasi-tarifi/,Bakliyat,Çorba,268,25,12,12.5,8.56,6.65,108.98,595.8,23.3,976.37,4.78,2.92,23.28,2 su bardağı kırmızı mercimek,1 adet kuru soğan,1 adet havuç,1 adet patates,Yarım limon,1 tatlı kaşığı tuz,3 yemek kaşığı zeytinyağı,12 su bardağı sıcak su (2400 ml),2 yemek kaşığı zeytinyağı,2 yemek kaşığı tereyağı,1 tatlı kaşığı kuru nane,1 çay kaşığı zerdeçal,1 çay kaşığı toz kırmızı biber,,,,,,,,,,,,,,,,,
Arabaşı Çorbası,https://www.nefisyemektarifleri.com/bol-sifali-nefis-arabasi-corbasi-tam-olcu/,Tavuk,Çorba,292,11.2,20.1,18.8,0.5,10.14,426.3,354.5,20.6,287.4,2.62,1.6,36.95,2 adet kalçalı tavuk but,1 litre sıcak su (Haşlamak için),3-4 yemek kaşığı zeytinyağı,1 yemek kaşığı tereyağı,2 yemek kaşığı dolusu un (Tepecikli),1. 5 yemek kaşığı domates salçası,1 tatlı kaşığı biber salçası,1 çay kaşığı pul biber,1 çay kaşığı karabiber,1 çay kaşığı nane,Tuz,9-10 su bardağı tavuk suyu + su,,,,,,,,,,,,,,,,,,
Terbiyeli Havuç Çorbası,https://www.nefisyemektarifleri.com/video/terbiyeli-havuc-corbasi-tarifi-videosu/,Sebze,Çorba,122,12.2,2.7,7.07,0.33,38.1,70.6,117.52,56.68,1034.39,0.94,0.24,46.25,2 orta boy havuç,1 çay bardağı tel şehriye,2 yemek kaşığı sıvı yağ,1 diş sarımsak,1 adet tavuk bulyon,5 su bardağı su,1 çay kaşığı tuz,4 yemek kaşığı yoğurt,1 tepeleme yemek kaşığı un,1 yumurta sarısı,1 su bardağı su,1 yemek kaşığı tereyağ,1 çay kaşığı nane,,,,,,,,,,,,,,,,,
